year,decile,median_income,median_burden
2005,1,5000.0,100.0
2005,2,9700.0,60.0
2005,3,14400.0,48.75
2005,4,19900.0,39.130434782608695
2005,5,25000.0,32.30769230769231
2005,6,31900.0,27.42857142857143
2005,7,40000.0,23.714285714285715
2005,8,49655.0,20.4
2005,9,64000.0,17.4375
2005,10,99800.0,13.39951836245924
2006,1,5300.0,100.0
2006,2,10000.0,60.58252427184466
2006,3,15000.0,48.0
2006,4,20500.0,38.98510030380149
2006,5,26530.0,32.43978021978022
2006,6,33100.0,27.575227642766688
2006,7,41000.0,23.714285714285715
2006,8,51100.0,20.629787234042553
2006,9,67000.0,17.53846153846154
2006,10,103600.0,13.452631578947368
2007,1,5900.0,100.0
2007,2,10700.0,59.083969465648856
2007,3,15900.0,47.333333333333336
2007,4,21600.0,38.526315789473685
2007,5,28000.0,32.16
2007,6,35000.0,27.27272727272727
2007,7,43000.0,23.575
2007,8,54000.0,20.50909090909091
2007,9,70000.0,17.496868263238348
2007,10,110000.0,13.480157480314961
2008,1,6000.0,100.0
2008,2,11000.0,61.0
2008,3,16400.0,48.1172974152034
2008,4,22300.0,38.9873417721519
2008,5,29000.0,31.879999999999995
2008,6,36000.0,27.42857142857143
2008,7,45000.0,23.723993651709712
2008,8,56000.0,20.444444444444446
2008,9,74000.0,17.627314814814817
2008,10,114900.0,13.516676938247258
2009,1,5645.0,100.0
2009,2,10900.0,62.287895310796074
2009,3,16000.0,49.70414201183432
2009,4,22000.0,40.17391304347826
2009,5,28170.0,33.55323886639677
2009,6,35400.0,28.273504273504273
2009,7,44400.0,24.339622641509433
2009,8,55700.0,21.12
2009,9,73000.0,18.12638117169839
2009,10,115000.0,13.979434311393074
2010,1,6000.0,100.0
2010,2,10880.0,64.50806451612902
2010,3,16000.0,51.0
2010,4,21600.0,41.40845070422535
2010,5,28000.0,34.128
2010,6,35000.0,29.00649059068457
2010,7,44000.0,25.0
2010,8,55004.0,21.508563134978232
2010,9,73000.0,18.436058913153886
2010,10,115000.0,14.090322580645163
2011,1,6000.0,100.0
2011,2,10800.0,64.46133558305826
2011,3,16000.0,51.0
2011,4,21600.0,41.50955431525116
2011,5,28000.0,34.45161290322581
2011,6,35000.0,29.05263157894737
2011,7,44600.0,24.89136079310752
2011,8,56100.0,21.310344827586206
2011,9,75000.0,18.21686746987952
2011,10,118000.0,14.059701492537313
2012,1,6000.0,100.0
2012,2,11200.0,63.47826086956522
2012,3,16600.0,50.18181818181818
2012,4,22400.0,40.8
2012,5,29400.0,33.42857142857143
2012,6,37000.0,28.318092701694734
2012,7,46225.0,24.266666666666666
2012,8,59000.0,20.909757887013942
2012,9,78000.0,17.95068493150685
2012,10,124000.0,13.875000000000002
2013,1,6000.0,100.0
2013,2,11800.0,64.18093534372605
2013,3,17107.0,49.875
2013,4,23500.0,40.179783451842276
2013,5,30000.0,33.05882352941176
2013,6,38400.0,28.055416970487776
2013,7,48000.0,24.0
2013,8,60100.0,20.727272727272727
2013,9,80500.0,17.82456140350877
2013,10,129800.0,13.824442396313366
2014,1,6500.0,100.0
2014,2,12000.0,63.38028169014085
2014,3,18000.0,49.88798266126732
2014,4,24000.0,40.03289189189189
2014,5,31000.0,33.07736389684814
2014,6,40000.0,28.199999999999996
2014,7,50000.0,24.087591240875913
2014,8,63000.0,20.794285714285714
2014,9,83700.0,18.0
2014,10,133000.0,13.826086956521738
2015,1,7100.0,100.0
2015,2,12700.0,62.03389830508475
2015,3,19000.0,48.46153846153846
2015,4,25200.0,38.879999999999995
2015,5,32900.0,32.57142857142858
2015,6,41000.0,27.348148148148148
2015,7,51800.0,23.637735849056604
2015,8,65470.0,20.594594594594597
2015,9,87000.0,17.792143371469717
2015,10,140000.0,13.61012658227848
2016,1,7200.0,100.0
2016,2,13000.0,60.81449631449631
2016,3,19800.0,47.4025974025974
2016,4,26400.0,38.22222222222222
2016,5,34500.0,31.57894736842105
2016,6,43000.0,27.044149951013253
2016,7,54000.0,23.31288343558282
2016,8,68400.0,20.32
2016,9,90000.0,17.647058823529413
2016,10,145400.0,13.548387096774196
2017,1,7300.0,100.0
2017,2,13400.0,60.16326530612245
2017,3,20000.0,47.048572030512446
2017,4,27600.0,38.080000000000005
2017,5,35360.0,31.5
2017,6,45000.0,26.913580246913583
2017,7,55700.0,23.333333333333332
2017,8,70000.0,20.378238341968913
2017,9,93100.0,17.773459119496856
2017,10,150000.0,13.726234817813765
2018,1,7600.0,100.0
2018,2,14000.0,60.83333333333333
2018,3,20800.0,47.34609634551495
2018,4,28700.0,38.30769230769231
2018,5,36780.0,31.755725190839694
2018,6,46300.0,27.123702362357108
2018,7,58000.0,23.296354992076072
2018,8,73000.0,20.47204136796333
2018,9,97050.0,17.910638297872342
2018,10,156000.0,13.63095238095238
2019,1,8000.0,100.0
2019,2,14600.0,59.0
2019,3,22100.0,45.742574257425744
2019,4,30000.0,36.8
2019,5,39560.0,30.857142857142854
2019,6,49700.0,26.400000000000002
2019,7,61000.0,23.145762711864407
2019,8,77240.0,20.434285714285714
2019,9,101600.0,17.886995515695066
2019,10,166000.0,13.428571428571429
2021,1,7000.0,100.0
2021,2,14400.0,62.06896551724138
2021,3,22800.0,48.0
2021,4,31000.0,38.4
2021,5,40000.0,31.972972972972975
2021,6,50200.0,27.652173913043477
2021,7,63400.0,24.18
2021,8,80000.0,21.333333333333336
2021,9,105000.0,18.276276553106214
2021,10,172000.0,13.868958620437335
2022,1,7200.0,100.0
2022,2,15200.0,62.82605042016807
2022,3,24600.0,48.366812227074234
2022,4,33800.0,38.51389961389961
2022,5,43300.0,32.5531914893617
2022,6,55000.0,28.476357267950963
2022,7,68000.0,24.794701986754966
2022,8,85360.0,21.681818181818183
2022,9,113200.0,18.72
2022,10,185000.0,14.011287758346583
2023,1,7500.0,100.0
2023,2,16800.0,61.8
2023,3,26500.0,47.5
2023,4,36400.0,38.06666666666666
2023,5,47100.0,32.4
2023,6,59800.0,28.455996177735308
2023,7,73000.0,25.063074141048823
2023,8,92000.0,21.975757575757576
2023,9,121000.0,18.688524590163937
2023,10,199000.0,14.176
2024,1,7500.0,100.0
2024,2,17700.0,61.33333333333333
2024,3,28300.0,47.184
2024,4,39100.0,38.1433543254889
2024,5,50000.0,32.5
2024,6,62000.0,28.521294699836538
2024,7,77000.0,24.9
2024,8,97000.0,21.99124726477024
2024,9,127800.0,18.933333333333334
2024,10,208000.0,14.373050530255771
