county,fips,current_price,price_6mo_ago,price_12mo_ago,change_6mo_pct,change_12mo_pct
San Francisco,06075,1268695.954713693,1232092.5993162517,1242564.0947176311,2.970828281717963,2.103059319607988
Santa Clara,06085,1583412.2333728848,1552774.0555388676,1610526.6062424916,1.973125305947018,-1.683571868015716
Santa Cruz,06087,1102785.0217767437,1082173.7446262937,1100533.7938761387,1.9046181126458321,0.20455781668239423
Marin,06041,1392758.5427750442,1379952.6266966162,1410351.997555443,0.9279967899393282,-1.2474513320712506
San Mateo,06081,1525400.1518524562,1519232.969723558,1528173.008844511,0.4059405141806718,-0.18144915372843523
Sonoma,06097,772956.1227420281,780567.22410071,795646.0079485752,-0.9750731421564175,-2.851756306180526
Solano,06095,567011.6352274487,575477.6341978705,585101.5684564956,-1.471125629794836,-3.0917594831899753
Contra Costa,06013,766060.1509988109,778776.8532551887,803170.8556770579,-1.6329070648701975,-4.620524315086528
Napa,06055,864943.5442354205,884101.3230693309,900789.0225763858,-2.166921181318944,-3.979342270229051
Alameda,06001,1044520.5878993848,1070955.8779816756,1102265.150694914,-2.4683827434712566,-5.23871799440675
